SessionID,Player1Strategy,Player2Strategy,Rounds,Player1Score,Player2Score,T,R,P,S,NoiseLevel
202510141420P1ALLCP2ALLDR3G30,ALLC,ALLD,3,0,15,5,3,1,0,0.000000
202510141420P1ALLCP2ALLDR3G30,ALLC,ALLD,3,0,15,5,3,1,0,0.000000
202510141420P1ALLCP2ALLDR3G30,ALLC,ALLD,3,0,15,5,3,1,0,0.000000
202510141420P1ALLCP2ALLDR3G30,ALLC,ALLD,3,0,15,5,3,1,0,0.000000
202510141420P1ALLCP2ALLDR3G30,ALLC,ALLD,3,0,15,5,3,1,0,0.000000
202510141420P1ALLCP2ALLDR3G30,ALLC,ALLD,3,0,15,5,3,1,0,0.000000
202510141420P1ALLCP2ALLDR3G30,ALLC,ALLD,3,0,15,5,3,1,0,0.000000
202510141420P1ALLCP2ALLDR3G30,ALLC,ALLD,3,0,15,5,3,1,0,0.000000
202510141420P1ALLCP2ALLDR3G30,ALLC,ALLD,3,0,15,5,3,1,0,0.000000
202510141420P1ALLCP2ALLDR3G30,ALLC,ALLD,3,0,15,5,3,1,0,0.000000
202510141420P1ALLCP2ALLDR3G30,ALLC,ALLD,3,0,15,5,3,1,0,0.000000
202510141420P1ALLCP2ALLDR3G30,ALLC,ALLD,3,0,15,5,3,1,0,0.000000
202510141420P1ALLCP2ALLDR3G30,ALLC,ALLD,3,0,15,5,3,1,0,0.000000
202510141420P1ALLCP2ALLDR3G30,ALLC,ALLD,3,0,15,5,3,1,0,0.000000
202510141420P1ALLCP2ALLDR3G30,ALLC,ALLD,3,0,15,5,3,1,0,0.000000
202510141420P1ALLCP2ALLDR3G30,ALLC,ALLD,3,0,15,5,3,1,0,0.000000
202510141420P1ALLCP2ALLDR3G30,ALLC,ALLD,3,0,15,5,3,1,0,0.000000
202510141420P1ALLCP2ALLDR3G30,ALLC,ALLD,3,0,15,5,3,1,0,0.000000
202510141420P1ALLCP2ALLDR3G30,ALLC,ALLD,3,0,15,5,3,1,0,0.000000
202510141420P1ALLCP2ALLDR3G30,ALLC,ALLD,3,0,15,5,3,1,0,0.000000
202510141420P1ALLCP2ALLDR3G30,ALLC,ALLD,3,0,15,5,3,1,0,0.000000
202510141420P1ALLCP2ALLDR3G30,ALLC,ALLD,3,0,15,5,3,1,0,0.000000
202510141420P1ALLCP2ALLDR3G30,ALLC,ALLD,3,0,15,5,3,1,0,0.000000
202510141420P1ALLCP2ALLDR3G30,ALLC,ALLD,3,0,15,5,3,1,0,0.000000
202510141420P1ALLCP2ALLDR3G30,ALLC,ALLD,3,0,15,5,3,1,0,0.000000
202510141420P1ALLCP2ALLDR3G30,ALLC,ALLD,3,0,15,5,3,1,0,0.000000
202510141420P1ALLCP2ALLDR3G30,ALLC,ALLD,3,0,15,5,3,1,0,0.000000
202510141420P1ALLCP2ALLDR3G30,ALLC,ALLD,3,0,15,5,3,1,0,0.000000
202510141420P1ALLCP2ALLDR3G30,ALLC,ALLD,3,0,15,5,3,1,0,0.000000
202510141420P1ALLCP2ALLDR3G30,ALLC,ALLD,3,0,15,5,3,1,0,0.000000
